epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,178.383,0.61272,0.99663,0.6303,0.92953,0,0.7426,0.43884,0.52214,0.24871,0.76589,0.4392,0.52615,0.2353,0.85434,1.19051,7.9385,1.21297,0,0.00292143,0.00292143,0.0737071
2,342.724,0.66078,1.05832,0.70358,0.97086,0,0.63169,0.47608,0.5127,0.22707,0.63926,0.48178,0.51766,0.19644,0.88289,1.23482,3.67896,1.18517,0,0.00578769,0.00578769,0.0473336
3,505.448,0.70421,1.11071,0.77512,1.01021,0,0.63756,0.42735,0.49349,0.20499,0.64604,0.4403,0.51161,0.2053,0.90798,1.22854,3.04832,1.19779,0,0.00859619,0.00859619,0.0209023
4,667.425,0.72627,1.14345,0.82093,1.03306,0,0.59263,0.47476,0.52591,0.22261,0.61945,0.49495,0.55237,0.21966,0.85949,1.14968,8.43434,1.17848,0,0.00970375,0.00970375,0.00970375
5,829.374,0.73127,1.14707,0.82642,1.03759,0,0.62664,0.45874,0.51678,0.21266,0.64054,0.47081,0.52609,0.20901,0.91779,1.18384,4.81054,1.20961,0,0.009605,0.009605,0.009605
6,991.377,0.72605,1.14924,0.81874,1.03485,0,0.6944,0.50371,0.60031,0.26224,0.70882,0.5279,0.62853,0.25666,0.88167,1.16675,3.52955,1.18602,0,0.00950625,0.00950625,0.00950625
7,1153.18,0.7256,1.13921,0.81615,1.02954,0,0.70296,0.50966,0.56959,0.22874,0.71744,0.50966,0.57551,0.22701,0.89135,1.17155,6.07863,1.22281,0,0.0094075,0.0094075,0.0094075
8,1315.22,0.71894,1.13711,0.81048,1.02854,0,0.64053,0.5079,0.56158,0.22135,0.64569,0.51199,0.56527,0.21577,0.92959,1.22047,5.05915,1.24202,0,0.00930875,0.00930875,0.00930875
9,1477.29,0.71611,1.13196,0.80441,1.02749,0,0.58691,0.48156,0.52291,0.2138,0.60053,0.46755,0.52176,0.19758,0.86483,1.20233,5.29243,1.20874,0,0.00921,0.00921,0.00921
10,1639.45,0.71051,1.12672,0.78811,1.01464,0,0.70348,0.55614,0.62624,0.24503,0.70948,0.55478,0.62288,0.23863,0.86686,1.16679,2.38341,1.16424,0,0.00911125,0.00911125,0.00911125
